Prec,Flex,Resl,Team,Pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,aexp,plex,ltex,tool,site,sced,kloc,effort
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,25.9,117.6
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,24.6,117.6
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,7.7,31.2
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,8.2,36.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,9.7,25.2
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,2.2,8.4
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3.5,10.8
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,66.6,352.8
4,4,4,5,4,4,2,4,3,3,6,6,2,4,4,3,4,3,4,4,3,3,7.5,72.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,20.0,72.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,6.0,24.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,100.0,360.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,5,3,2,3,3,3,11.3,36.0
4,4,4,5,3,3,2,4,3,3,3,3,4,4,4,3,4,2,1,3,3,3,100.0,215.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,20.0,48.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,3,3,1,3,3,3,100.0,360.0
4,4,4,5,3,3,2,4,3,3,3,6,2,4,5,3,5,3,4,3,3,3,150.0,324.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,4,3,4,3,3,3,31.5,60.0
4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,15.0,48.0
4,4,4,5,3,3,2,4,3,3,3,6,2,4,3,3,4,3,4,3,3,3,32.5,60.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,19.7,60.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,66.6,300.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,29.5,120.0
4,4,4,5,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,15.0,90.0
4,4,4,5,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,38.0,210.0
4,4,4,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,10.0,48.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,15.4,70.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,48.5,239.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,16.3,82.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,12.8,62.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,32.6,170.0
4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,35.5,192.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,5.5,18.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,10.4,50.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,14.0,60.0
4,4,4,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6.5,42.0
4,4,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13.0,60.0
4,4,4,5,4,3,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,90.0,444.0
4,4,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8.0,42.0
4,4,4,5,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,16.0,114.0
4,4,4,5,4,3,4,4,3,3,5,4,2,4,4,3,3,2,4,3,3,2,177.9,1248.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,302.0,2400.0
4,4,4,5,4,3,4,2,3,3,3,3,4,4,3,3,4,3,3,4,3,3,282.1,1368.0
4,4,4,5,4,4,4,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3,284.7,973.0
4,4,4,5,3,4,4,3,3,3,3,3,2,3,4,3,4,3,4,3,3,3,79.0,400.0
4,4,4,5,2,2,3,3,3,3,3,3,2,4,5,3,4,3,4,3,3,3,423.0,2400.0
4,4,4,5,4,3,3,3,3,3,3,3,2,4,5,3,5,2,4,3,3,3,190.0,420.0
4,4,4,5,4,3,3,4,3,3,3,4,3,4,3,3,4,3,4,3,3,3,47.5,252.0
4,4,4,5,2,5,3,6,3,3,4,4,2,3,3,3,4,3,3,4,3,3,21.0,107.0
4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,78.0,571.4
4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,11.4,98.8
4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,19.3,155.0
4,4,4,5,2,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,101.0,750.0
4,4,4,5,2,4,3,4,3,3,4,4,2,3,3,3,4,3,3,3,3,3,219.0,2120.0
4,4,4,5,2,4,3,4,3,3,4,4,2,3,3,3,4,3,3,3,3,3,50.0,370.0
4,4,4,5,4,5,4,4,3,3,5,5,3,5,5,3,5,3,4,4,3,2,227.0,1181.0
4,4,4,5,4,3,4,5,3,3,3,3,2,4,5,3,3,2,3,3,3,2,70.0,278.0
4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,0.9,8.4
4,4,4,5,2,5,2,6,3,3,6,5,2,4,4,3,5,1,4,3,3,3,980.0,4560.0
4,4,4,5,3,3,2,4,3,3,3,3,2,5,5,3,3,4,4,3,3,3,350.0,720.0
4,4,4,5,4,4,3,6,3,3,4,4,2,4,3,3,3,4,4,4,3,3,70.0,458.0
4,4,4,5,4,4,3,6,3,3,4,4,2,4,3,3,3,4,4,4,3,3,271.0,2460.0
4,4,4,5,3,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,3,3,90.0,162.0
4,4,4,5,3,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,3,3,40.0,150.0
4,4,4,5,3,4,3,4,3,3,4,3,2,4,4,3,4,3,4,3,3,3,137.0,636.0
4,4,4,5,3,4,3,4,3,3,4,3,4,4,4,3,4,3,4,3,3,3,150.0,882.0
4,4,4,5,3,5,3,4,3,3,4,3,2,4,4,3,4,3,4,3,3,3,339.0,444.0
4,4,4,5,3,2,4,2,3,3,3,3,4,4,4,3,4,3,4,3,3,3,240.0,192.0
4,4,4,5,2,4,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,144.0,576.0
4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,151.0,432.0
4,4,4,5,2,3,2,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,34.0,72.0
4,4,4,5,2,3,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,98.0,300.0
4,4,4,5,2,3,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,85.0,300.0
4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,20.0,240.0
4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,111.0,600.0
4,4,4,5,2,4,5,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,162.0,756.0
4,4,4,5,2,4,4,5,3,3,3,5,2,4,4,3,4,4,4,3,3,2,352.0,1200.0
4,4,4,5,2,4,3,5,3,3,3,5,2,4,4,3,4,4,4,3,3,2,165.0,97.0
4,4,4,5,4,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,60.0,409.0
4,4,4,5,4,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,100.0,703.0
4,4,4,5,3,4,5,5,3,3,6,6,4,3,3,3,3,2,2,3,3,3,32.0,1350.0
4,4,4,5,4,4,4,4,3,3,5,6,4,4,4,3,4,4,4,3,3,3,53.0,480.0
4,4,4,5,4,4,2,5,3,3,5,6,2,5,5,3,5,1,1,4,3,3,41.0,599.0
4,4,4,5,4,4,2,5,3,3,5,6,2,5,5,3,5,1,1,4,3,3,24.0,430.0
4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,165.0,4178.2
4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,65.0,1772.5
4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,70.0,1645.9
4,4,4,5,4,5,4,6,3,3,6,6,3,4,4,3,4,4,4,3,3,3,50.0,1924.5
4,4,4,5,2,5,2,5,3,3,5,6,2,4,3,3,2,1,2,4,3,3,7.25,648.0
4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,233.0,8211.0
4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,16.3,480.0
4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,6.2,12.0
4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,3.0,38.0
